question,option1,option2,option3,option4,answer
無人飛機在視距內發生「空中失速(Stall)」，緊急處置程序為下列何者?,以第一人稱方式操作航機飛至安全區域迫降。,立即切換至適當之操作模式由操作人目視航機接手操作，推桿控制航機姿態降低飛行攻角以建立安全空速。,切換至適當之操作模式，儘速以穩定之滾轉角、俯仰角等飛行姿態降低無人機飛行攻角，建立安全高度。,調整俯仰姿態以飄降飛回本場。,1
無人飛機在視距外發生「低油量/電量」，緊急處置程序為下列何者?,切入任務模式，儘速以穩定之滾轉角、俯仰角等飛行姿態將航機飛回本場。,立即關閉航機除酬載影像外之非必要酬載設備以減緩油量/電量之消耗。,立即加大動力以全速飛回本場。,立即關閉航機酬載影像等非必要酬載設備，以減緩油量/電量之消耗。,1
無人直昇機與多旋翼機在視距外發生「低油量/電量」，緊急處置程序為下列何者?,開啟自動避障系統。,立即以第一人稱方式保持全速飛行，儘速安全返場降落。,調整俯仰姿態以飄降飛回本場。,參考姿態儀及酬載影像將航機飛至安全區域迫降。,3
無人直昇機與多旋翼機在視距外發生「低油量/電量」，緊急處置程序下列何者為非?,立即關閉航機除酬載影像外之非必要酬載設備以減緩油量/電量之消耗。,減緩油量/電量之消耗，以維持飛控電腦及伺服舵機等必要模組之運作。,減緩油量/電量之消耗，以維持廣播設備及投放伺服機等模組之運作。,立即以第一人稱方式保持勻速飛行，儘速安全返場降落。,2
「迫降航線處置」指的是下列何者?,自行判斷當下高度、距離及航線，安全返場降落。,開啟自動避障系統。,機動改變任務航線來繞越或避障。,參考酬載影像避障並迫降於安全處。,0
「異地迫降處置」指的是下列何者?,自行判斷當下高度、距離及航線，安全返場降落。,開啟自動避障系統。,機動改變任務航線來繞越或避障。,參考酬載影像避障並迫降於安全處。,3
「空中緊急避障處置」指的是下列何者?,自行判斷當下高度、距離及航線，安全返場降落。,開啟自動避障系統。,機動改變任務航線來繞越或避障。,參考酬載影像避障並迫降於安全處。,2
臺北近場臺範圍不包括下列何者?,連江縣。,宜蘭縣。,臺中市。,雲林縣。,3
高雄近場臺範圍不包括下列何者?,嘉義縣。,南投縣。,雲林縣。,金門縣。,1
臺北飛航情報區限航區名冊，RCR45、RCR46、RCR47（核三、核一、核二廠），涉及下列何者?,航道及航管安全。,情報及邊境安全。,輻射及廠房安全。,以上皆是。,2
臺北飛航情報區限航區名冊，東沙群島位於下列哪個飛航情報區內?,香港飛航情報區。,臺北飛航情報區。,馬尼拉飛航情報區。,廣州飛航情報區。,0
臺北飛航情報區限航區名冊，南沙群島位於下列哪個飛航情報區內?,香港飛航情報區。,臺北飛航情報區。,馬尼拉飛航情報區。,廣州飛航情報區。,2
遙控無人機實際作業地點在台中，要派員去下列哪個近場管制塔臺?,位在臺北的臺北近場管制塔臺。,位在桃園的臺北近場管制塔臺。,位在台南的高雄近場管制塔臺。,位在高雄的高雄近場管制塔臺。,1
遙控無人機實際作業地點在台東，要派員去下列哪個近場管制塔臺?,位在臺北的臺北近場管制塔臺。,位在桃園的臺北近場管制塔臺。,位在台南的高雄近場管制塔臺。,位在高雄的高雄近場管制塔臺。,3
若無人機作業範圍未在禁/限航區、未在民航局公告之航空站或飛行場四周一定距離範圍、且高度未逾距地面或水面400呎者，是否需派員至航管單位進行協調?,無需派員至航管單位進行協調。,仍需派員至航管單位進行協調。,由無人機操作人自行決定。,由航管單位依當時的航空交通流量來決定。,0
臺北近場臺及高雄近場臺均位於保安管制區，臨時進出之人員須取得下列哪個單位核准?,民航局。,國安局。,航空警察單位。,機場保全公司。,2
1個遙控無人機申請案以派遣幾位協調人員至航管單位為原則?,1位。,2位。,3位。,4位。,0
若在同日派1位協調人員負責多處遙控無人機之聯繫作業，應安排不同遙控無人機活動作業時間，以免發生下列何種狀況，而衍生飛安風險?,延誤放行升空時機。,壓縮作業時間。,未依航管指示落地。,以上皆是。,3
派遣至航管單位的協調人員，應熟知遙控無人機申請案的相關作業內容中不包括下列何者?,申請案之作業地點、範圍、實際作業高度。,機場周邊活動、其他航機飛行。,申請案號碼、飛航公告號碼。,作業時間、返回落地所需時間。,1
協調人員至航管單位時，應主動告知相關作業內容訊息予下列何人?,塔臺長。,航管班務督導。,管制員。,航詢員。,1
協調人員至航管單位執行協調聯繫作業時，手機應作下列何種設定?,手機應設定為響鈴模式。,手機應設定為飛航模式。,手機應設定為靜音或震動模式。,手機應暫時關機。,2
航管單位屬於保安管制區域，作業期間應遵守下列哪些事項?,禁止拍照、錄音、攝影等，但可隨意走動。,可以拍照、錄音、攝影等，但不得進入指定區域以外之場所。,可以拍照、錄音、攝影等，且可隨意走動。,禁止拍照、錄音、攝影等，且不得進入指定區域以外之場所。,3
空域協調使用作業期間以下列何者為優先?,軍、民航機。,遙控無人機。,輕航機。,滑翔機。,0
派遣至航管單位的協調人員，應確實按航管人員指示內容，即時聯絡下列何人配合辦理?,遙控無人機目視觀察員。,遙控無人機所有人。,遙控無人機操作人。,以上皆是。,2
遙控無人機飛航活動申請時，「作業概述」欄位應敘明下列哪些資訊?,作業高度、預期效益等資訊。,作業目的、預計起降地點等資訊。,作業溫度、氣壓及氣象預報等資訊。,作業所需航空知識、緊急處置程序等資訊。,1
遙控無人機飛航活動申請時，「作業概述」預計起降地點可輸入下列何者?,座標（如：經緯度）。,地標（如：台大實驗林）。,以上皆可。,以上皆非。,2
遙控無人機飛航安全相關事件之一，是指下列何者所規定之遙控無人機飛航事故?,民用航空法。,飛航規則。,危險物品空運管理辦法。,運輸事故調查法。,3
運輸事故調查法所規定之遙控無人機飛航事故，應向下列何者通報?,向民航局通報即可。,向運安會通報即可。,先向民航局通報，再看情形決定是否向運安會通報。,除向民航局通報外，亦應向運安會通報。,3
運輸事故調查法規定，運輸事故發生後，應於得知消息後多少時間內通報運安會?,2小時內。,12小時內。,24小時內。,48小時內。,0
運輸事故調查法規定，疑似運輸事故發生後，應於得知消息後多少時間內通報運安會?,12小時內。,24小時內。,2小時內。,48小時內。,1
運輸事故調查法規定，遙控無人機所有人或操作人，無正當理由未於期限內通報運安會事故或疑似事故者，處下列何種罰鍰?,新臺幣3萬元以上15萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣30萬元以上150萬元以下。,新臺幣1萬元以上150萬元以下。,1
運輸事故調查法所規定之遙控無人機飛航事故明訂於下列何者?,民用航空法。,飛航規則。,遙控無人機重大飛航事故調查作業處理規則。,危險物品空運管理辦法。,2
「遙控無人機重大飛航事故調查作業處理規則」規定，遙控無人機重大飛航事故發生後，下列何者應儘速通報已知事故狀況?,遙控無人機所有人。,遙控無人機操作人。,政府相關機關（構）。,以上皆是。,3
「遙控無人機重大飛航事故調查作業處理規則」規定，遙控無人機重大飛航事故發生後，應儘速將已知事故狀況通報運安會之下列何者?,值日官。,主任調查官。,執行長。,專案調查小組。,0
「遙控無人機重大飛航事故調查作業處理規則」規定，下列何者為應通報之事故?,人員死亡或傷害。,人員生病或情緒不佳。,人員睡眠不足或喝酒過量。,人員注意力不集中。,0
「遙控無人機重大飛航事故調查作業處理規則」規定，「死亡」指該人直接觸及遙控無人機之任何部位，包括自機體分離之部分，而有下列哪種情形者?,當場死亡。,4小時之內死亡。,8小時之內死亡。,12小時之內死亡。,0
「遙控無人機重大飛航事故調查作業處理規則」規定，「傷害」指下列哪種情形者?,受傷後3日之內須住院治療12小時以上。,受傷後5日之內須住院治療24小時以上。,受傷後7日之內須住院治療48小時以上。,受傷後10日之內須住院治療72小時以上。,2
「遙控無人機重大飛航事故調查作業處理規則」規定，下列何者為應通報之事故?,最大起飛重量逾1公斤之遙控無人機遭受實質損害。,最大起飛重量逾25公斤之遙控無人機遭受實質損害。,最大起飛重量逾1公斤之遙控無人機遭受可修復之損壞。,最大起飛重量逾25公斤之遙控無人機遭受可修復之損壞。,1
「遙控無人機重大飛航事故調查作業處理規則」規定，「實質損害」指下列哪種情形者?,遙控無人機損壞，修復需費時1日之內、費用新臺幣1萬元以內。,遙控無人機損壞，修復需費時5日之內、費用新臺幣10萬元以內。,遙控無人機損壞，修復需費時5日以上、費用新臺幣10萬元以上。,遙控無人機損壞無法修復。,3
「遙控無人機重大飛航事故調查作業處理規則」規定，造成人民生命、財產重大影響者、或毀損超過下列何者為應通報之事故?,新臺幣100萬元者。,新臺幣50萬元者。,新臺幣25萬元者。,新臺幣10萬元者。,1
「飛航規則」規定，「高度」指下列何者?,自特定基準至空中某平面或某點或某目標物間之水平距離。,自平均海平面至空中某平面或某點或某目標物間之水平距離。,自特定基準至空中某平面或某點或某目標物間之垂直距離。,自平均海平面至空中某平面或某點或某目標物間之垂直距離。,3
「飛航規則」規定，「實際高度」指下列何者?,自特定基準至空中某平面或某點或某目標物間之水平距離。,自平均海平面至空中某平面或某點或某目標物間之水平距離。,自特定基準至某平面、某點、或某目標物間之垂直距離。,自平均海平面至空中某平面或某點或某目標物間之垂直距離。,2
「飛航規則」規定，有人機目視飛航最低實際高度為下列何者?,不得低於距地面或水面500呎。,不得低於距地面或水面400呎。,不得低於距地面或水面300呎。,不得低於距地面或水面200呎。,0
「指示高度」為由高度表所顯示出來的高度，基準面為下列何者?,標準參考面。,最低雲幕高。,地面或海平面。,高度表壓力調撥值所設定的基準面。,3
「指示高度」壓力調撥值為下列何者?,29.92 in-Hg。,當地之大氣壓力值。,27.92 in-Hg。,「指示高度」沒有壓力調撥值問題。,1
「真高度」俗稱海拔高度，為航空器高於下列何者的垂直距離?,地面。,最低雲幕高。,平均海平面。,標準參考面。,2
一般在航圖看到的高度，包括機場、地形、或障礙物的標高都是下列何者?,MSL。,AGL。,ASL。,MGL。,0
「絕對高度」通常是指經由下列何者所顯示出來的高度?,電波/雷達高度表。,GPS。,氣壓高度表。,以上皆是。,0
「絕對高度」基準為下列何者?,標準參考面。,地面。,最低雲幕高。,海平面。,1
「絕對高度」壓力高度表的壓力調撥值為下列何者?,29.92 in-Hg。,當地之大氣壓力值。,27.92 in-Hg。,「絕對高度」沒有壓力調撥值問題。,3
「絕對高度」常用下列何者來表示?,MSL。,MGL。,AGL。,ASL。,2
飛機在通過或降落高山地區的空域時，使用下列何種高度比較安全?,指示高度。,絕對高度。,壓力高度。,以上皆是。,1
「壓力高度」基準面為下列何者?,海平面。,最低雲幕高。,標準參考面。,地面。,2
「壓力高度」之壓力調撥值設定為下列何者?,當地之大氣壓力值。,「壓力高度」沒有壓力調撥值問題。,27.92 in-Hg。,29.92 in-Hg。,3
「壓力高度」用以計算下列何者?,密度高度。,真高度。,真空速及其他性能資料。,以上皆是。,3
「密度高度」為將壓力高度值對下列何者校驗後的高度?,溫度。,濕度。,風速。,氣壓。,0
如果大氣溫度符合國際標準大氣的狀況，密度高度等於下列何者?,指示高度。,真高度。,壓力高度。,絕對高度。,2
監控密度高度最主要的目的是下列何者?,避開雷雨區或沙塵暴。,正確計算飛機性能值。,提高濃霧時的能見度。,預估逆溫層的形成。,1
下列何者為以遙控無人機投擲物件之一例?,投放海釣拋餌。,噴灑農藥。,工程巡檢。,空拍回傳。,0
下列何者為以遙控無人機噴灑物件之一例?,工程巡檢。,空拍回傳。,投放海釣拋餌。,噴灑農藥。,3
下列何者為危險物品第一類爆炸物品之一例?,具劇烈爆炸危險性。,具火焰噴出危險性。,具顯著危險性。,以上皆是。,3
危險物品第二類氣體包括下列何者?,單原子氣體、單分子氣體、化合物分子氣體。,理想氣體、非完全氣體、凡得瓦爾氣體。,易燃氣體、非易燃無毒氣體、毒性氣體。,惰性氣體、溫室氣體、費米氣體。,2
「危險物品空運管理辦法」危險物品之分類基準，係依下列何者之「危險物品航空安全運送技術規範」之規定?,世界衛生組織。,國際民用航空組織。,世界旅遊組織。,聯合國工業發展組織。,1
日出及日落時間，依下列何者公布之時間為準?,民用航空局。,觀光局。,中央氣象局。,運輸研究所。,2
日出前/日落後，至太陽中心在地平線下6º之時段稱為下列何者?,民用曙光/民用暮光。,天文曙光/天文暮光。,航海曙光/航海暮光。,朝陽/夕陽。,0
日出前/日落後，至太陽中心在地平線下6º至12º之時段稱為下列何者?,朝陽/夕陽。,航海曙光/航海暮光。,民用曙光/民用暮光。,天文曙光/天文暮光。,1
日出前/日落後，至太陽中心在地平線下12º 至18º之時段稱為下列何者?,航海曙光/航海暮光。,朝陽/夕陽。,民用曙光/民用暮光。,天文曙光/天文暮光。,3
矯正鏡片一般適用於下列何者?,近視、遠視、老花、斜視、散光等。,遠距離觀察物體。,觀察微小的物體。,遮擋陽光、過濾紫外線。,0
矯正鏡片的佩戴方式一般有下列哪兩種?,單片眼鏡、雙片眼鏡兩種。,框架眼鏡、隱形眼鏡兩種。,輕型眼鏡、重型眼鏡兩種。,長效眼鏡、短效眼鏡兩種。,1
以目前遙控無人機操作負荷，其控制台及系統非經特殊設計尚無法同時控制幾架遙控無人機?,2架（含）以上。,3架（含）以上。,4架（含）以上。,5架（含）以上。,0
「民用航空器及公務航空器重大飛航事故調查作業處理規則」規定，應通報下列重大飛航事故之一，為航空器空中接近至下列哪個範圍，須採緊急避讓動作始能防止相撞或危險之情況者?,200呎以內。,400呎以內。,500呎以內。,900呎以內。,2
近年來多起客機疑與無人機的碰撞實例，大多發生於下列何種時機?,客機在機場停駐時。,客機在空中平飛過程中。,客機在機場爬升或下降過程中。,客機在空中轉彎過程中。,2
帶BEC（battery eliminator circuit，去電池電路）功能的電子調速器可對電源電壓進行降壓，並輸出5 V電壓以供電至下列何種機載設備?,飛控電腦。,遙控鏈路元件。,伺服舵機。,以上皆是。,3
帶BEC（battery eliminator circuit，去電池電路）功能的電子調速器可對電源電壓進行降壓，並輸出5 V電壓以供電至各種機載設備，何者除外?,動力馬達。,遙控鏈路元件。,伺服舵機。,飛控電腦。,0
經農政機關登記合格之法人且取得民航局能力審查核准之業者，其飛航活動許可時間以多久為限?,6個月。,3個月。,1年。,1個月。,0
經農政機關登記合格之法人且取得民航局能力審查核准之業者，其飛航活動許可以六個月為限，但其可申請操作限制排除項目不包含下列何者?,不得以遙控無人機投擲或噴灑任何物件。,不得裝載依第四十三條第三項公告之危險物品。,不得於日落後至日出前之時間飛航。,不得於人群聚集或室外集會遊行上空活動。,3
某遙控無人機操作人欲執行農藥噴灑作業，以下敘述何者正確？,執行業務之活動申請者須為經農政機關登記合格之法人。,其飛航活動許可時間以3個月為限。,應於活動日三十日前提出申請。,該操作人不須通過術科測驗。,0
某遙控無人機操作人欲執行農藥噴灑作業，以下敘述何者正確？,執行業務之活動申請者須為經農政機關登記合格之法人,其飛航活動許可時間以6個月為限,應於活動日十五日前提出申請。,以上皆是。,3
經農政機關登記合格之法人欲於禁、限航區及航空站或飛行場四周一定距離範圍內從事農藥噴灑作業，應於活動日前多久提出申請？,30日前。,15日前。,3日前。,5日前。,1
於直轄市、縣（市）政府公告之禁止、限制區域內從事遙控無人機農藥噴灑作業時，如有跨縣市飛航情形，應向哪個機關提出申請？,飛經之直轄市、縣（市）政府。,向起飛地點所在直轄市、縣（市）政府提出申請，經所在地及跨縣市政府同意。,降落地點所在直轄市、縣（市）政府。,降落地點所鄰近直轄市、縣（市）政府。,1
經農政機關登記合格之法人因執行農噴業務需於直轄市、縣（市）政府所公告之遙控無人機活動區域、時間及其他管理事項外從事飛航活動者，應申請何者會商相關中央主管機關同意後，始得為之？,直轄市、縣（市）政府。,衛福部。,農委會。,交通部。,0
經農政機關登記合格之法人因執行農噴業務需於禁、限航區及航空站或飛行場四周一定距離範圍內從事遙控無人機飛航活動者，應申請何者會商目的事業主管機關同意後，始得為之？,鄉鎮區公所。,農委會。,民航局,直轄市、縣（市）政府。,2
政府機關(構)、學校或法人於直轄市、縣（市）政府公告之禁止、限制區域內從事遙控無人機飛航活動，應取得相關中央主管機關同意，有關該程序下列敘述何者正確?,應報請直轄市、縣(市)政府會商相關中央主管機關同意。,相關中央主管機關得委託政府機關(構)或團體代為同意。,相關中央主管機關委託相關業務應將委託之對象、事項及法規依據公告之，並刊登於政府公報。,以上皆是。,3
遙控無人機製造者或進口者利用電子商務服務系統販售遙控無人機時，應將下列哪段文字標示於電子商務服務系統明顯處?,最大起飛重量二百五十公克以上遙控無人機應辦理註冊。,遙控無人機活動前應注意活動區域與遵守操作規定。,相關活動區域及操作規定資訊，請見民航局網站及遙控無人機圖資行動應用程式。,以上皆是。,3
利用電子商務服務系統販售遙控無人機時販售遙控無人機前，應由下列何者向民航局申請辦理產品資訊登錄?,代理商。,製造商。,進口者。,以上皆是。,3
遙控無人機於販售或進口前，應由下列何者於產品或包裝上標示最大起飛重量、註冊程序、型式檢驗標籤或認可標籤、實體檢驗說明、操作限制說明、管理及違規裁罰等資訊?,代理商。,製造商。,進口者。,以上皆是。,3
學習操作證持有人得於持有遙控無人機普通操作證或專業操作證之操作人在旁指導下，依其操作證所載之構造分類，學習操作最大起飛重量未達多少公斤之遙控無人機?,15公斤。,25公斤。,2公斤。,150公斤。,1
學習操作證持有人得於持有遙控無人機普通操作證之操作人在旁指導下，學習操作最大起飛重量未逾多少公斤之遙控無人機?,15公斤。,25公斤。,2公斤。,150公斤。,0
學習操作證持有人得於持有遙控無人機專業操作證之操作人在旁指導下，學習操作最大起飛重量未達多少公斤之同一構造遙控無人機?,2公斤。,15公斤。,150公斤。,依指導人持有之專業操作證可操作之重量級別而定，並以最大起飛重量未達25公斤為限。,3
領有最大起飛重量一百五十公斤以上之專業操作證者，對持有學習操作證者具備同一構造最大起飛重量多少公斤的遙控無人機教學資格?,未達2公斤且同一級別以下之遙控無人機資格。,未達15公斤且同一級別以下之遙控無人機資格。,未達25公斤且同一級別以下之遙控無人機資格。,未達150公斤且同一級別以下之遙控無人機資格。,2
操作最大起飛重量一百五十公斤以上之遙控無人機操作人應依下列哪種標準辦理體格檢查?,航空人員乙類體格檢查標準,普通小型車體檢認定標準,普通大貨車體檢認定標準,普通聯結車體檢認定標準,0
操作最大起飛重量一百五十公斤以下之遙控無人機操作人應依下列哪種標準辦理體格檢查?,航空人員乙類體格檢查標準,普通小型車體檢認定標準,普通大貨車體檢認定標準,無人駕駛航空器體檢認定標準,1
有關申請遙控無人機專業操作證者，下列何者有誤?,申請專業基本級II操作證者，應領有專業基本級I(無註記重量限制)操作證一個月以上之經歷。,申請專業高級Ib操作證者，應領有專業高級Ia(無註記重量限制)操作證一個月以上之經歷。,申請專業高級IIc操作證者，應領有專業基本級II操作證或專業高級Ib操作證均有三個月以上之經歷。,申請專業基本級 I 操作證者，應領有遙控無人機普通操作證一個月以上之經歷。,3
申請專業基本級II操作證者，應領有專業基本級I(無註記重量限制)操作證幾個月以上之經歷?,1個月。,2個月。,3個月。,6個月。,0
申請專業高級Ib操作證者，應領有專業高級Ia(無註記重量限制)操作證幾個月以上之經歷?,1個月。,2個月。,3個月。,6個月。,0
申請專業高級IIc操作證者，應領有專業基本級II操作證或專業高級Ib操作證幾個月以上之經歷?,1個月。,2個月。,3個月。,6個月。,2
申請專業高級IIId操作證者，應領有下列何種操作證一個月以上之經歷?,專業基本級III操作證,專業高級IIc操作證,專業基本級II操作證,專業高級Ib操作證均,0
申請專業高級IIId操作證者，應領有專業基本級III操作證幾個月以上之經歷?,1個月。,2個月。,3個月。,6個月。,0
有關申請遙控無人機專業操作證者之體格檢查規定，下列敘述何者有誤?,操作最大起飛重量一百五十公斤以下之遙控無人機操作人應依據普通小型車體檢認定標準辦理體格檢查,應向公路監理機關指定之醫療院所或教學醫院辦理體格檢查,操作最大起飛重量一百五十公斤以上之遙控無人機操作人應依航空人員乙類體格檢查標準辦理體格檢查,操作最大起飛重量二十五公斤以上之遙控無人機操作人應依航空人員乙類體格檢查標準辦理體格檢查,3
針對學習操作證之敘述，下列敘述何者為非？,申請者應年滿14歲。,持有者須於具備普通或專業操作證之操作人在旁指導監護下，使得操作。,持有者所操作學習遙控無人機最大起飛重量不得逾15公斤。,持有者所操作學習遙控無人機最大起飛重量不得逾25公斤。,2
經農政機關登記合格之法人且取得民航局能力審查核准之業者，從事下列哪種飛航活動其同意文件以六個月為限?,以遙控無人機投擲或噴灑任何物件。,裝載依第四十三條第三項公告之危險物品。,於日落後至日出前之時間飛航。,以上皆是。,3
有關申請遙控無人飛機專業基本級I操作證者，下列敘述何者為正確？,遙控無人飛機之矩形機翼、翼展僅限介於一百八十公分至二百公分者。,遙控無人飛機之翼弦長僅限介於二十八公分至三十三公分者。,遙控無人飛機之起飛重量僅限大於6.5公斤以上者。,可使用符合Ib 規格之工作機 任務機。,3
有關申請遙控無人直昇機專業基本級I操作證者，下列敘述何者為正確？,遙控無人直昇機之旋翼半徑僅限介於七十公分至九十公分者。,遙控無人直昇機之起飛重量僅限大於4.5公斤以上者。,遙控無人直昇機之起飛重量僅限大於6.5公斤以上者。,可使用符合Ib 規格之工作機 (任務機)。,3
有關申請遙控無人多旋翼機專業基本級I操作證者，下列敘述何者為正確？,遙控無人多旋翼機之對角馬達之軸心距離僅限介於九十公分至一百一十公分者。,遙控無人多旋翼機之起飛重量僅限大於4公斤以上者。,遙控無人多旋翼機之起飛重量僅限大於6.5公斤以上者。,可使用符合Ib 規格之工作機 (任務機)。,3
有關申請遙控無人多旋翼機專業基本級I操作證者，下列敘述何者為非？,可使用遙控無人多旋翼機之對角馬達之軸心距離介於九十公分至一百一十公分者。,可使用遙控無人多旋翼機之起飛重量大於或等於4公斤以上者。,可使用遙控無人多旋翼機之起飛重量大於6.5公斤以上者。,可使用符合Ib 規格之工作機 (任務機)。,2
持有普通操作證者在旁指導持有學習操作證者學習操作遙控無人機，下列敘述何者正確?,可學習操作最大起飛重量未達15公斤之遙控無人機。,可學習操作最大起飛重量未達25公斤之遙控無人機。,可學習操作最大起飛重量未達150公斤之遙控無人機。,可學習操作最大起飛重量150公斤以上之遙控無人機。,0
依遙控無人機管理規則規定，遙控無人機製造者或進口者於販售前，應於何處標示最大起飛重量、註冊程序、型式檢驗標籤或認可標籤、實體檢驗說明、操作限制說明、管理及違規裁罰等資訊?,廣告內容。,電子商務服務系統。,產品或包裝上。,以上皆是。,2
自行製造、使用之遙控無人機，應由下列何者向民航局申請辦理產品資訊登錄?,所有人。,零件製造商。,零件供應商。,以上皆是。,0
政府機關為執行業務者，其活動申請同意期限為多久?,3個月。,6個月。,1個月。,1年。,3
小陳是一位持有專業操作證(G2)的自然人，請問下列敘述何者為有誤?,其操作證得以申請執行遙控無人機投擲或噴灑任何物件。,小陳如欲執行夜間噴灑作業，須再參加第1組（G1）高級術科測驗並取得專業操作證。,小陳如欲執行業務之活動申請，則須透過經農政機關登記合格之法人。,小陳已經擁有專業操作證(G2)，即可在屬於綠區的自家農地執行遙控無人機噴灑作業。,3
小陳是一間農噴無人機公司的操作人，該公司並已向民航局完成活動申請得以執行農藥噴灑作業，請問下列敘述何者為有誤?,其活動申請同意文件最長得以6個月為限。,該公司是農政機關登記合格之法人。,該公司之能力審查申請，核准效期為1年。,小陳應於每次活動前、後於指定時間內至民航局指定資訊系統登錄飛航資訊。,2
小華想要進口一些遙控無人機到網路上販售，請問下列敘述何者為有誤?,小華應主動向民航局申請辦理產品資訊登錄。,小華是進口者。,小華不得擅自進口製造商未向民航局完成登錄之遙控無人機。,小華應於販售頁面明顯處標示遙控無人機註冊、操作注意事項及活動空域圖資等資訊。,2
小華欲報考專業高級Ib操作證術科考試，請問下列敘述何者為正確?,小華應領有遙控無人機普通操作證1個月以上之經歷。,小華應領有專業高級Ia(無註記重量限制)操作證1個月以上之經歷。,小華不須通過專業操作證學科測驗。,小華應領有專業高級Ia(無註記重量限制)操作證3個月以上之經歷。,1
小華持有學習操作證，並向持有普通操作證的小黃學習，請問下列敘述何者為錯誤?,小華應已年滿14歲。,小黃具有對小華進行最大起飛重量未達十五公斤之遙控無人機教學資格。,小黃未通過專業操作證術科測驗，不具任何教學資格。,教學過程須遵守操作限制規定。,2
小華是一名持有專業操作證(G3)的警員，因為公務需要，長官請他使用遙控無人機值勤，請問下列敘述何者錯誤?,小華值勤的機關須通過民航局能力審查後始得從事遙控無人機活動。,小華執勤的機關，其活動申請同意文件以半年為限。,經民航局活動申請許可，小華得以於集會遊行上空進行拍攝偵查。,小華未持有專業操作證(G1)證照，日落後即不得操作遙控無人機。,1
小黃已申請並經許可於桃園機場禁止無人機活動範圍內從事飛航活動，該申請人於執行飛航作業時之應注意事項，請問下列敘述何者正確?,小黃僅須通過民航局能力審查後即可從事遙控無人機活動。,小黃若未取得飛航公告(NOTAM)或未與桃園機場航務組進行協調聯繫，仍視同程序已完備，可依活動許可時間及範圍直接升空作業。,經民航局活動申請許可，小黃即可於桃園機場附近進行空拍作業。,小黃應依「活動同意文件」規定辦理空域協調事宜，作業前後若未與桃園機場航務組進行空域協調聯繫者，視同程序未完成，將依遙控無人機管理規則查處。,3